Waterbody Official,Waterbody,ATS,Species,Strain* Genotype**,,Average,Number,Stocking Date
Unnamed,Foremost,NW17-6-11-W4,RNTR,Trout/Lodge/Kamloops,AF3N,25,500,2025-10-09
Engstrom Lake,,NW17-83-6-W4,RNTR,Campbell Lake,2N,20,20000,2025-05-08
Engstrom Lake,,NW17-83-6-W4,RNTR,Riverence,AF3N,17.1,4760,2025-09-24
Engstrom Lake,,NW17-83-6-W4,RNTR,Riverence,AF3N,18.4,10170,2025-09-24
Engstrom Lake,,NW17-83-6-W4,RNTR,Riverence,AF3N,17.9,10070,2025-09-24
Mitchell Pond,Waskasoo Park,NW18-38-27-W4,RNTR,Trout/Lodge/Kamloops,AF3N,30,50,2025-05-08
Mitchell Pond,Waskasoo Park,NW18-38-27-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.4,2100,2025-05-08
Little Bear Lake,Hasse Lake,NW19-64-2-W4,BKTR,Beitty Resort,3N,19.6,2200,2025-05-01
Little Bear Lake,Hasse Lake,NW19-64-2-W4,BNTR,Bow River,3N,18.9,1000,2025-05-01
Little Bear Lake,Hasse Lake,NW19-64-2-W4,RNTR,Campbell Lake,2N,20.5,4000,2025-05-10
Little Bear Lake,Hasse Lake,NW19-64-2-W4,RNTR,Campbell Lake,2N,18.2,2500,2025-05-10
Little Bear Lake,Hasse Lake,NW19-64-2-W4,RNTR,Pit Lakes,2N,23.2,5000,2025-05-10
Little Bear Lake,Hasse Lake,NW19-64-2-W4,TGTR,Bow River,3N,22.7,2000,2025-05-10
Little Bear Lake,Hasse Lake,NW19-64-2-W4,RNTR,Campbell Lake,3N,25.9,2159,2025-10-14
Unnamed,Winchell Lake,NW2-29-5-W5,RNTR,Riverence,AF3N,20,4000,2025-05-07
Unnamed,Winchell Lake,NW2-29-5-W5,RNTR,Riverence,AF3N,19.9,2760,2025-10-09
Unnamed,Winchell Lake,NW2-29-5-W5,RNTR,Riverence,AF3N,26.81,2156,2025-10-09
Mclean Pond,,NW20-22-5-W5,CTTR,Allison Creek,2N,13.2,2300,2025-05-16
Mclean Pond,,NW20-22-5-W5,CTTR,Allison Creek,2N,37.8,200,2025-06-24
Mclean Pond,,NW20-22-5-W5,CTTR,Allison Creek,2N,17.5,2300,2025-07-31
Jack Fish Lake,,NW20-53-9-W4,RNTR,Campbell Lake,2N,20.4,5000,2025-05-03
Jack Fish Lake,,NW20-53-9-W4,TGTR,Beitty/Bow River,3N,22.5,1000,2025-05-03
Unnamed,South Heart,NW20-77-17-W5,WALL,Rock Island,2N,0.4,1788736,2025-06-01
Unnamed,South Heart,NW20-77-17-W5,WALL,Rock Island,2N,0.4,440563,2025-06-04
Reesor Lake,,NW20-8-1-W4,RNTR,Campbell Lake,2N,20.5,7000,2025-10-06
Reesor Lake,,NW20-8-1-W4,RNTR,Campbell Lake,3N,21.2,5000,2025-10-06
Reesor Lake,,NW20-8-1-W4,RNTR,Pit Lakes,2N,20.3,9000,2025-05-15
Reesor Lake,,NW20-8-1-W4,RNTR,Campbell Lake,2N,19.9,7000,2025-05-15
Reesor Lake,,NW20-8-1-W4,RNTR,Pit Lakes,2N,28,200,2025-09-29
Grotto Mountain Pond,,NW21-24-9-W5,CTTR,Allison Creek,2N,13.2,800,2025-05-16
Grotto Mountain Pond,,NW21-24-9-W5,CTTR,Allison Creek,2N,37.8,100,2025-06-25
Grotto Mountain Pond,,NW21-24-9-W5,CTTR,Allison Creek,2N,17,800,2025-07-31
Upper Kananaskis,,NW23-19-9-W5,CTTR,Allison Creek,2N,15,5000,2025-06-25
Upper Kananaskis,,NW23-19-9-W5,CTTR,Allison Creek,2N,19.8,2300,2025-09-11
Sylvan Lake,,NW23-39-2-W5,WALL,Lac Ste. Anne,2N,0.4,2300000,2025-05-26
Unnamed,Legal Reservoir,NW24-57-25-W4,RNTR,Riverence,AF2N,23.9,1150,2025-05-25
Lower Kananaskis,,NW26-19-9-W5,CTTR,Allison Creek,2N,15,5000,2025-06-25
Lower Kananaskis,,NW26-19-9-W5,CTTR,Allison Creek,2N,19.2,8044,2025-09-18
Champion Lakes Lower Champion,,NW26-21-5-W5,CTTR,Allison Creek,2N,14.1,300,2025-06-03
Champion Lakes Upper Champion,,NW26-21-5-W5,CTTR,Allison Creek,2N,14.1,300,2025-06-03
Unnamed,Machesis Lake,NW27-107-16-W5,RNTR,Campbell Lake,2N,20,4000,2025-05-13
Unnamed,Beaumont Pond,NW27-50-24-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.4,1000,2025-05-08
Unnamed,Beaumont Pond,NW27-50-24-W4,TGTR,Beitty/Bow River,3N,19.6,200,2025-05-09
Unnamed,Beaumont Pond,NW27-50-24-W4,BNTR,Bow River,3N,19.4,241,2025-05-09
Unnamed,Len Thompson,NW29-40-26-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.2,1735,2025-05-01
Unnamed,Len Thompson,NW29-40-26-W4,TGTR,Beitty/Bow River,3N,20.3,150,2025-05-01
Unnamed,Len Thompson,NW29-40-26-W4,TGTR,Beitty/Bow River,3N,20.3,500,2025-05-01
Unnamed,Len Thompson,NW29-40-26-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,872,2025-06-11
Unnamed,Len Thompson,NW29-40-26-W4,BNTR,Bow River,2N,33,50,2025-10-01
Peppers Lake,,NW30-35-12-W5,BKTR,Beitty Resort,3N,19.2,4000,2025-05-26
Peppers Lake,,NW30-35-12-W5,RNTR,Trout,AF3N,21.2,2800,2025-05-26
