,,,,,,,,
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,20,24718,16-09-2025
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,19.5,7732,22-09-2025
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,19.7,7419,22-09-2025
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,19.7,9288,22-09-2025
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,19.8,7371,22-09-2025
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,16.5,10190,22-09-2025
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Riverence,AF3N,7.9,8362,22-09-2025
Peanut Lake,,NE15-58-3-W5,BKTR,Beitty Resort,3N,19.5,5000,30-04-2025
Peppers Lake,,NW30-35-12-W5,BKTR,Beitty Resort,3N,19.2,4000,26-05-2025
Peppers Lake,,NW30-35-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.2,2800,26-05-2025
Petite Lake,,NW12-54-26-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.7,2000,23-05-2025
Phyllis Lake,,SE17-36-7-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,10000,03-05-2025
Pierre Greys Lakes,Lower Pierre Greys Lake,SE12-57-5-W6,RNTR,Trout Lodge/Kamloops,AF3N,17.7,7000,15-05-2025
Pierre Greys Lakes,Middle Pierre Greys Lake,NW6-57-4-W6,RNTR,Trout Lodge/Kamloops,AF3N,19.6,15000,26-05-2025
Pierre Greys Lakes,Upper Pierre Greys Lake,SW7-57-4-W6,BKTR,Beitty Resort,3N,19.8,2000,14-05-2025
Pierre Greys Lakes,Upper Pierre Greys Lake,SW7-57-4-W6,BKTR,Beitty Resort,3N,20.3,3562,26-06-2025
Pierre Greys Lakes,Upper Pierre Greys Lake,SW7-57-4-W6,BKTR,Beitty Resort,3N,12.3,9500,25-09-2025
Pinehurst Lake,,NE27-65-10-W4,WALL,Ethel Lake,2N,0.4,918256,30-05-2025
Pinehurst Lake,,NE27-65-10-W4,WALL,Ethel Lake,2N,0.4,1035348,31-05-2025
Pinehurst Lake,,NE27-65-10-W4,WALL,Ethel Lake,2N,0.4,181675,03-06-2025
Pinehurst Lake,,NE27-65-10-W4,WALL,Ethel Lake,2N,0.4,349736,05-06-2025
Rainbow Park Pond,"Westlock
Recreation Pond",NE31-59-25-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,21,1200,14-05-2025
Rat Lake,,SW11-38-9-W5,TGTR,Beitty/Bow River,3N,30.6,700,01-10-2025
Rat Lake,,SW11-38-9-W5,TGTR,Beitty/Bow River,3N,10.6,500,01-10-2025
Rattlesnake Lake,"Sauder (Rattlesnake)
Reservoir",SE8-12-8-W4,WALL,Lac Ste. Anne,2N,6.1,595,25-07-2025
Rattlesnake Lake,"Sauder (Rattlesnake)
Reservoir",SE8-12-8-W4,WALL,Lac Ste. Anne,2N,11.7,655,26-09-2025
Reesor Lake,,NW20-8-1-W4,RNTR,Pit Lakes,2N,20.3,9000,15-05-2025
Reesor Lake,,NW20-8-1-W4,RNTR,Campbell Lake,2N,19.9,7000,15-05-2025
Reesor Lake,,NW20-8-1-W4,RNTR,Pit Lakes,2N,28,200,29-09-2025
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Riverence,AF3N,23,500,09-05-2025
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Riverence,AF3N,25.3,550,22-08-2025
Running Lake,,SW34-88-7-W6,BKTR,Beitty Resort,3N,19.8,3000,20-05-2025
Salter's Lake,,SW26-54-2-W5,RNTR,Riverence,AF2N,20.3,7500,08-05-2025
Salter's Lake,,SW26-54-2-W5,TGTR,Beitty/Bow River,3N,19.9,2000,08-05-2025
Sandy Lake,,NE9-79-22-W4,WALL,Graham Lake,2N,0.4,3208231,08-06-2025
Sardine Lake,,SW5-49-4-W5,RNTR,Riverence,AF3N,20,2500,09-05-2025
Sauer Lake,,NE28-53-1-W5,RNTR,Riverence,AF2N,20.3,6000,05-05-2025
Sawn Lake,,SE18-92-12-W5,WALL,Graham Lake,2N,0.4,1984992,06-06-2025
Schuman Lake,,SE35-61-8-W5,TGTR,Beitty/Bow River,3N,23.9,500,20-05-2025
Schuman Lake,,SE35-61-8-W5,RNTR,Campbell Lake,2N,20,9500,20-05-2025
Shark Lake,,NW1-22-11-W5,CTTR,Allison Creek,2N,4.2,500,09-09-2025
Shunda Lake,Fish Lake,SW19-40-15-W5,RNTR,Riverence,AF3N,20.3,10000,13-05-2025
Shunda Lake,Fish Lake,SW19-40-15-W5,RNTR,Riverence,AF3N,20.3,10000,13-05-2025
"Sibbald Meadows
Pond",,SW20-24-7-W5,RNTR,Riverence,AF3N,23.4,2000,16-05-2025
