Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Unnamed,Nose Creek Pond,NE1-27-1-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.5,400,2023-05-16
Unnamed,Nuggent Pond,SE14-44-3-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.1,350,2023-06-15
Unnamed,Nuggent Pond,SE14-44-3-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.5,350,2023-05-17
Unnamed,"Open Creek
Reservoir",NE25-42-6-W5,RNTR,Campbell Lake,2N,50,20,2023-05-09
Unnamed,"Open Creek
Reservoir",NE25-42-6-W5,RNTR,Riverance,AF3N,14.2,2000,2023-09-12
Unnamed,Open Creek Reservoir,NE25-42-6-W5,RNTR,Campbell Lake,2N,20.2,4000,2023-05-17
Unnamed,Oyen (Concrete Plant) Pond,NW34-27-4-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,350,2023-05-02
Unnamed,Oyen Reservoir,NE33-30-4-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,300,2023-05-02
Unnamed,"Pine Coulee
Reservoir",NE15-14-28-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.9,3765,2023-04-24
Unnamed,Pine Coulee Reservoir,NE15-14-28-W4,RNTR,Riverance,AF3N,13.4,30000,2023-09-08
Unnamed,Pit 24,NE4-47-19-W5,BNTR,Bow River,3N,20.9,250,2023-10-03
Unnamed,Pit 24,NE4-47-19-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.3,377,2023-10-03
Unnamed,Pit 35,SW26-46-19-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.5,196,2023-10-02
Unnamed,Pit 44,SW35-46-19-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.7,552,2023-10-02
Unnamed,Pit 45,SE26-46-19-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.7,552,2023-10-02
Unnamed,"Pleasure Island
Reservoir",SW20-46-19-W4,TGTR,Beitty/Bow River,3N,20.5,200,2023-04-28
Unnamed,"Pleasure Island
Reservoir",SW20-46-19-W4,BNTR,Bow River,3N,18.5,160,2023-04-28
Unnamed,"Pleasure Island
Reservoir",SW20-46-19-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.6,200,2023-04-28
Unnamed,Pleasure Island Reservoir,SW20-46-19-W4,BKTR,Beitty Resort,3N,19.7,750,2023-04-28
Unnamed,Pleasure Island Reservoir,SW20-46-19-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.1,1100,2023-06-15
Unnamed,Pleasure Island Reservoir,SW20-46-19-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.9,605,2023-09-20
