name,other_name,district,lat,long,ats,waterbody_id
MIDWAY RESERVOIR,,OLDS,51.565685,-113.735238,SE16-30-27-W4,6741
MILE 07 LAKE,,LAC LA BICHE,55.021444,-112.015324,NE35-69-14-W4,6642
MILK RIVER RIDGE RESERVOIR,,LETHBRIDGE,49.375056,-112.587358,NE11-5-20-W4,3526
MILLERS LAKE,,EDSON,53.560075,-116.768896,SW8-53-19-W5,5324
MIRROR RESERVOIR,,PONOKA,52.464155,-113.138878,SW29-40-22-W4,6746
MITCHELL LAKE,,ROCKY MOUNTAIN HOUSE,52.216312,-115.007692,NE25-37-8-W5,5348
MITCHELL POND,WASKASOO PARK POND,HANNA,52.269458,-113.853351,NW18-38-27-W4,6623
MITFORD PONDS,,COCHRANE,51.19005,-114.49262,SE4-26-4-W5,395196
MONTAGANEUSSE LAKE,STONEY LAKE,FAIRVIEW,56.504886,-118.461339,NE31-86-3-W6,6684
MOONSHINE LAKE,MIRAGE LAKE,SPIRIT RIVER,55.886111,-119.227778,SE31-79-8-W6,5360
MORINVILLE FISH AND GAME POND,,STONY PLAIN,53.811699,-113.658398,NW4-56-25-W4,6736
MOUND RED RESERVOIR,,WETASKIWIN,52.867842,-113.961579,NW11-45-28-W4,6737
MOUNT LORETTE PONDS,,CANMORE,50.969566,-115.107943,SW19-23-8-W5,3482
MUIR LAKE,,STONY PLAIN,53.624675,-113.956437,NW32-53-27-W4,5387
Muskiki Lake,,,,,NW5-45-20-W5,
MUSKOSEEPI POND,,GRANDE PRAIRIE,55.172657,-118.806587,SE26-71-6-W6,6730
NARDAM LAKE,,SPIRIT RIVER,55.762438,-118.725502,NE17-78-5-W6,6732
NICHOLAS SHERAN PARK POND,,LETHBRIDGE,49.671905,-112.879725,SE26-8-22-W4,6734
NIEMELA RESERVOIR,RAY'S POND,RED DEER,52.322935,-114.292729,SE1-39-3-W5,6735
NITON LAKE,,EVANSBURG,53.616078,-115.725966,SE32-53-12-W5,6647
NORDEGG BORROW PIT (EAST),,NORDEGG,52.480398,-116.122018,SE32-40-15-W5,6914
NORDEGG BORROW PIT (WEST),,NORDEGG,52.484878,-116.128512,SW32-40-15-W5,6915
NOSE CREEK POND,,COCHRANE,51.280125,-114.010762,NE1-27-1-W5,6671
NUGGENT POND,,PONOKA,52.791495,-114.317013,SE14-44-3-W5,6724
OBED LAKE,,HINTON,53.566667,-117.133333,SW11-53-22-W5,5466
OLE LAKE,,FAIRVIEW,56.316771,-119.894419,NW30-84-12-W6,5476
OPEN CREEK RESERVOIR,,ROCKY MOUNTAIN HOUSE,52.648629,-114.729184,NE25-42-6-W5,6726
OUTPOST LAKE,POLICE LAKE,CARDSTON,49.011823,-113.456699,NE6-1-26-W4,5504
OYEN (CONCRETE PLANT) POND,,OYEN,51.351315,-110.488247,NW34-27-4-W4,18020
OYEN RESERVOIR,,OYEN,51.6135,-110.497677,NE33-30-4-W4,6714
PARKER LAKE,,,55.084708,-114.621162,SE25-70-5-W5,
PARLBY RESERVOIR,TEES FISH POND,PONOKA,52.471946,-113.316718,NE25-40-24-W4,6718
PAYNE LAKE,MAMI LAKE,CARDSTON,49.1117,-113.655837,NE10-2-28-W4,5513
PEANUT LAKE,,BARRHEAD,54.017399,-114.352591,NE15-58-3-W5,5538
PEPPERS LAKE,,ROCKY MOUNTAIN HOUSE,52.038779,-115.705653,NW30-35-12-W5,5555
PETITE LAKE,,HINTON,53.655681,-117.702585,NW12-54-26-W5,5565
PHYLLIS LAKE,,ROCKY MOUNTAIN HOUSE,52.1,-114.966667,SE17-36-7-W5,5569
