OFFICIAL NAME,COMMON NAME,ATS,LAT,LONG,SPECIES,STRAIN,GENOTYPE,AVG. LENGTH,QUANTITY,SHIPMENT DATE
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,16.3,10006,09-Sep-20
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Campbell Lake,3N,8.4,9592,09-Sep-20
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Campbell Lake,3N,11.5,22093,23-Sep-20
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Beitty Resort,3N,15.4,14315,23-Sep-20
PEANUT LAKE,,NE15-58-3-W5,54.017399,-114.352591,BKTR,Beitty Resort,3N,20.54,3500,12-May-20
PEANUT LAKE,,NE15-58-3-W5,54.017399,-114.352591,RNTR,Trout Lodge/Kamloops,AF2N,21.96,7385,01-Oct-20
PEANUT LAKE,,NE15-58-3-W5,54.017399,-114.352591,RNTR,Trout Lodge/Kamloops,AF2N,21.74,7615,01-Oct-20
PEPPERS LAKE,,NW30-35-12-W5,52.038779,-115.705653,RNTR,Campbell Lake,3N,17,2800,01-Jun-20
PEPPERS LAKE,,NW30-35-12-W5,52.038779,-115.705653,BKTR,Beitty Resort,3N,18,3400,01-Jun-20
PEPPERS LAKE,,NW30-35-12-W5,52.038779,-115.705653,RNTR,Trout Lodge/Jumpers,AF3N,19.55,2200,11-Jun-20
PETITE LAKE,,NW12-54-26-W5,53.655681,-117.702585,RNTR,Trout Lodge/Jumpers,AF3N,19.46,2000,28-May-20
PHYLLIS LAKE,,SE17-36-7-W5,52.1,-114.966667,RNTR,Beitty Resort,2N,35,6,14-May-20
PHYLLIS LAKE,,SE17-36-7-W5,52.1,-114.966667,RNTR,Campbell Lake,2N,55,25,14-May-20
